Column Name,Data Type,Missing %,Unique Values,Classification,Recommended Action,Reason
position,int64,0.0,20,Identifier,Drop,Unique per-listing identifier / URL with no generalizable predictive signal.
loc,object,15.47,511,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
myear,int64,0.0,34,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
bt,object,0.05,11,Duplicate feature,Drop,Duplicate encoding of 'body_type_new' (group: body_type); keeping only the canonical column.
tt,object,0.0,2,Duplicate feature,Drop,Duplicate encoding of 'transmission_type_new' (group: transmission); keeping only the canonical column.
ft,object,0.0,5,Duplicate feature,Drop,Duplicate encoding of 'fuel_type_new' (group: fuel_type); keeping only the canonical column.
km,object,0.0,23863,Duplicate feature,Drop,Duplicate encoding of 'km_driven' (group: km_driven); keeping only the canonical column.
ip,int64,0.0,2,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
pi,object,1.8,37134,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
images,object,0.0,37135,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
imgCount,int64,0.0,54,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
threesixty,bool,0.0,2,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
dvn,object,0.0,4159,Duplicate feature,Drop,Redundant member of the 'variant_text_combo' duplicate group; whole group dropped.
oem,object,0.0,46,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
model,object,0.0,382,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
modelId,int64,0.0,682,Duplicate feature,Drop,Redundant member of the 'model_numeric_id' duplicate group; whole group dropped.
vid,object,0.0,4159,Duplicate feature,Drop,Redundant member of the 'variant_text_combo' duplicate group; whole group dropped.
centralVariantId,int64,0.0,4585,Duplicate feature,Drop,Redundant member of the 'model_numeric_id' duplicate group; whole group dropped.
variantName,object,0.0,3488,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
city_x,object,0.0,617,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
vlink,object,0.0,37814,Identifier,Drop,Unique per-listing identifier / URL with no generalizable predictive signal.
price,object,0.0,2374,Target,Keep,This is the prediction target (display-formatted; cleaned separately).
pu,object,0.0,6865,Potential data leakage feature,Drop,Numerically identical to (or directly derived from) the target price.
discountValue,int64,0.0,30,Low-information feature,Drop,Column is dominated (>99%) by a single value; carries negligible predictive signal.
msp,int64,0.0,3,Low-information feature,Drop,Column is dominated (>99%) by a single value; carries negligible predictive signal.
priceSaving,object,99.99,2,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
pageNo,int64,0.0,162,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
utype,object,0.0,2,Duplicate feature,Drop,Duplicate encoding of 'seller_type_new' (group: seller_type); keeping only the canonical column.
views,int64,0.0,2143,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
usedCarId,int64,0.0,37814,Identifier,Drop,Unique per-listing identifier / URL with no generalizable predictive signal.
usedCarSkuId,object,0.0,37814,Identifier,Drop,Unique per-listing identifier / URL with no generalizable predictive signal.
ucid,int64,0.0,37811,Identifier,Drop,Unique per-listing identifier / URL with no generalizable predictive signal.
sid,object,0.0,37811,Identifier,Drop,Unique per-listing identifier / URL with no generalizable predictive signal.
tmGaadiStore,bool,0.0,2,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
emiwidget,object,0.0,6206,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
transmissionType,object,0.0,2,Duplicate feature,Drop,Duplicate encoding of 'transmission_type_new' (group: transmission); keeping only the canonical column.
dynx_itemid_x,int64,0.0,37814,Identifier,Drop,Unique per-listing identifier / URL with no generalizable predictive signal.
dynx_itemid2_x,int64,0.0,4585,Duplicate feature,Drop,Redundant member of the 'model_numeric_id' duplicate group; whole group dropped.
dynx_totalvalue_x,int64,0.0,6865,Potential data leakage feature,Drop,Numerically identical to (or directly derived from) the target price.
leadForm,int64,0.0,2,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
leadFormCta,object,14.02,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
offers,object,0.0,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
compare,bool,0.0,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
brandingIcon,object,97.98,1,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
pageType,object,0.0,2,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
carType,object,0.0,3,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
corporateId,int64,0.0,6,Website/metadata field,Drop,"Describes the listing/website session, not an attribute of the vehicle itself."
top_features,object,0.0,400,Useful predictive feature,Transform,Stringified list of equipment; converted into a feature-count during engineering.
comfort_features,object,0.0,2016,Useful predictive feature,Transform,Stringified list of equipment; converted into a feature-count during engineering.
interior_features,object,0.0,527,Useful predictive feature,Transform,Stringified list of equipment; converted into a feature-count during engineering.
exterior_features,object,0.0,1893,Useful predictive feature,Transform,Stringified list of equipment; converted into a feature-count during engineering.
safety_features,object,0.0,2116,Useful predictive feature,Transform,Stringified list of equipment; converted into a feature-count during engineering.
Color,object,0.42,798,Useful predictive feature,Keep,"Passed all exclusion rules: sufficiently populated, non-constant, non-identifier."
Engine Type,object,2.3,658,Low-information feature,Drop,"Free-text field whose signal is already captured by structured spec columns (Displacement, No of Cylinder, Max Power); too high-cardinality to one-hot usefully."
